"","id","lang","geo","created_at","retweet_count","favorite_count","full_text"
"1",1254559997976969216,"en","","2020-04-26 23:56:26",1,4,"I’m not a scientist but I’m guessing wearing bandanas around the neck or a mask down on the chin offers no protection from #covid?"
"2",1254558476359131136,"en","","2020-04-26 23:50:23",0,0,"Get your #mask on with balloonituplm #family1st #blessed #COVID-19 #staysafe #staystrong https://t.co/4twOMEix57"
"3",1254555673930711040,"en","","2020-04-26 23:39:15",0,0,"Green Stripes Pattern Monochrome Color Block Cloth Face Mask https://t.co/EPDSVy5XXd via @zazzle  #zazzlemade #coronavirus #facemask #protectyourself #staysafe #covid #covidsave"
"4",1254554751980777472,"en","","2020-04-26 23:35:36",0,0,"as if you need another reason NOT to wear a muzzle/mask. https://t.co/1HvYymhzGf #freedom #BillGatesVirus #reopenamerica #EndTheShutdown #covidsafe #COVID #reopenpa #reopennc #reopennys #scamdemic"
"5",1254553545229074432,"en","","2020-04-26 23:30:48",1,4,"Found that someone put a mask on the statue of famous Mooresville resident and businesswoman Peggy Popp. #signofthetimes #coronavirus #Covid_19 #covid https://t.co/ceT27PTUxa"
"6",1254552434623512576,"en","","2020-04-26 23:26:23",0,1,"Our county has over 1,000 deaths and over 13,000 positive #COVID cases.   Stay home. Keep social distancing. Wear a mask. Wash your hands.   Now more than ever, we must understand that we are #AllInThisTogether and do our part!"
"7",1254549742471823360,"en","","2020-04-26 23:15:41",12,32,"Kebbi State recorded 1st Case of #Covid-19 At this juncture, We need to: 1- Implement the SOCIAL DISTANCING ATTITUDE 100%. 2- Wear Mask 3- Wash hands with Soap and water. 4- Use hand Sanitizer 5- Seek attention if there's any of the  symptoms. #TakeResponsibility @KBStGovt https://t.co/BtSRT763ic"
"8",1254549461260480512,"en","","2020-04-26 23:14:34",0,0,"This is the type of solutions the world needs  #COVID   https://t.co/F3gAjwGnAi"
"9",1254548470733705216,"en","","2020-04-26 23:10:38",0,2,"Woman on @BN9 complaining about “my body my choice” and how she doesn’t want to be required to wear a mask or get tested for #COVID before being permitted to return to work. Someone tell her this is not a political issue PLEASE. #stayhome #educateyourself"
"10",1254548215904514048,"en","","2020-04-26 23:09:37",0,0,"#Covid #covidsafe survival backpack! For when you’re outside or going to work.  1. Hand Sanitizer 2. Sanitizer Wipes 3. Travel Sized Lysol 4. Two Masks 5. Extra Shirt  6. A few gallon sized ziplock bags if you need to switch masks or shirt.   Please wear a mask 😷"
"11",1254545289530220544,"en","","2020-04-26 22:58:00",0,0,"The way to go as performing Lagos governor, Babajide Sanwo-Olu distributes 3m Face Mask free.  #Covid-19combattream #lagosgov #sanwoekoonthemove https://t.co/WKLfaBoO7U"
"12",1254544112189046784,"en","","2020-04-26 22:53:19",0,0,"Really, seem to not be worried abt using the ‘Drs’ advice, be respectful of ur fellow members by ‘Wearing a mask (not just around ur neck), do not touch ur face, covering ur mouth nose w/elbow when coughing sneezing...#hypocrite #Covid-19 #Science #preventionsaveslives https://t.co/KCt3k2BiCH https://t.co/oPDcWWk46p"
"13",1254534114906198016,"en","","2020-04-26 22:13:35",11,284,"Today was one of those days when the #PPE seemed to not just protect me but also to contain the emotional intensity of health care in the #COVID era.   And then when I took off the mask and walked home in the rain, it all flowed out of me."
"14",1254529569752678400,"en","","2020-04-26 21:55:32",0,1,"Folks in grocery and food banks wearing gloves, then touching their noses, mouths and eyes, then going back to touching food does ZERO good. Viruses don't enter you through your hands, it enters through your noses, mouths and eyes.  Wear a mask and don't touch your faces. #covid"
"15",1254525375163412480,"en","","2020-04-26 21:38:52",1,0,"Making custom mask DM me! #trump #covid #Trump2020 #mask https://t.co/Pk4PbXb2Lx"
"16",1254525007998435328,"en","","2020-04-26 21:37:24",1,1,"COVID-19 - It is now mandatory to wear a mask.  #COVID-19 #homemademasks #washablefacemask #reusablemask https://t.co/uG4MKrJuDF"
"17",1254524402852651008,"en","","2020-04-26 21:35:00",2,15,"I swear I can’t stand they’re making the masks into a fashion statement. Proudly wearing your slave mask. No thank you! #Resist 😷 #masks #covid #PlannedDemic https://t.co/rM0QVvymFi"
"18",1254521334924587008,"en","","2020-04-26 21:22:48",0,1,"Notice the photo of a barber cutting hair in the story. He is wearing his mask below his nose. We should all feel confident to go back to businesses despite #Coronavirus #covid-19 https://t.co/TuCUATDXoB"
"19",1254520057851514880,"en","","2020-04-26 21:17:44",0,0,"Even the donuts are staying safe! 🍩😷🍩 #sundaydonuts #mask #quaratinelife #quarantine2020 #covid #therebetterbezombies #fuckpeas #anotherdayinquarantine #sundayvibes #weightlossjourney #fattofit #coffeeandcardio... https://t.co/v43sVp0j2R"
"20",1254518023399956480,"en","","2020-04-26 21:09:39",0,0,"Please join us. Tap the link to give what you can:  https://t.co/GwtHJgMGZ7 ⠀  #aaronkirman #donate #donation #donations #mask #masks #covid_19 #covid #covid19 #coronavirus #corona #pandemic #donatetoday #nonprofit https://t.co/IsR64V4fn1"
